id,custom_label_0,brand
71201889250,outlet,NORRONA
71201826240,outlet,NORRONA
71201838240,outlet,NORRONA
71201890250,outlet,NORRONA
71201823220,outlet,NORRONA
71201614240,outlet,NORRONA
71201627220,outlet,NORRONA
71201627190,outlet,NORRONA
71203032160,outlet,NORRONA
71201618240,outlet,NORRONA
71201626220,outlet,NORRONA
71202629240,outlet,NORRONA
71202669250,outlet,NORRONA
71202718250,outlet,NORRONA
71202628240,outlet,NORRONA
71202642240,outlet,NORRONA
71202627240,outlet,NORRONA
71202646240,outlet,NORRONA
71202640240,outlet,NORRONA
71202674240,outlet,NORRONA
71202672240,outlet,NORRONA
71202673240,outlet,NORRONA
71202679250,outlet,NORRONA
71202683240,outlet,NORRONA
71202686240,outlet,NORRONA
71202634240,outlet,NORRONA
71202719250,outlet,NORRONA
71202632240,outlet,NORRONA
71202692240,outlet,NORRONA
71202633240,outlet,NORRONA
71202717250,outlet,NORRONA
71202676240,outlet,NORRONA
71202662240,outlet,NORRONA
71202677240,outlet,NORRONA
71202207180,outlet,NORRONA
71202237250,outlet,NORRONA
71205241220,outlet,NORRONA
71203427240,outlet,NORRONA
71201025200,outlet,NORRONA
71201031200,outlet,NORRONA
71201201230,outlet,NORRONA
71201032200,outlet,NORRONA
71201026200,outlet,NORRONA
71202205230,outlet,NORRONA
71201605220,outlet,NORRONA
71201025240,outlet,NORRONA
71202025240,outlet,NORRONA
71201026240,outlet,NORRONA
71201206230,outlet,NORRONA
71201205230,outlet,NORRONA
71205806230,outlet,NORRONA
71201208230,outlet,NORRONA
71201207230,outlet,NORRONA
71201203190,outlet,NORRONA
71202204230,outlet,NORRONA
71201812220,outlet,NORRONA
71201811220,outlet,NORRONA
71202653240,outlet,NORRONA
71202033240,outlet,NORRONA
71202003230,outlet,NORRONA
71201820240,outlet,NORRONA
71201814240,outlet,NORRONA
71202041180,outlet,NORRONA
71202201230,outlet,NORRONA
71202652240,outlet,NORRONA
71202648240,outlet,NORRONA
71201206190,outlet,NORRONA
71201219190,outlet,NORRONA
71201816220,outlet,NORRONA
71201003220,outlet,NORRONA
71202654240,outlet,NORRONA
71205822230,outlet,NORRONA
71201804230,outlet,NORRONA
71205823230,outlet,NORRONA
71205819230,outlet,NORRONA
71202665240,outlet,NORRONA
71205209220,outlet,NORRONA
71205824230,outlet,NORRONA
71205820230,outlet,NORRONA
71205809230,outlet,NORRONA
71205806240,outlet,NORRONA
71205807230,outlet,NORRONA
71205805240,outlet,NORRONA
71205229230,outlet,NORRONA
71201047200,outlet,NORRONA
71203417180,outlet,NORRONA
